id, key_words, query_type, not_depressed_set_type, negative_sentiment_filter, personal_pronouns, absolutist_language, testing_accuracy, user_accuracy, forum_accuracy 
0,0,hashtag,random,False,False,False,0.9964989059080963,0,0
1,0,hashtag,positive,False,False,False,0.8990920881971466,0,0
2,0,hashtag,random,False,False,True,0.9947521865889213,0,0
3,0,hashtag,positive,False,False,True,0.8251748251748252,0,0
4,0,hashtag,random,False,True,False,0.9915405164737311,0,0
5,0,hashtag,positive,False,True,False,0.7379356568364611,0,0
6,0,hashtag,random,False,True,True,0.9776227141482194,0,0
7,0,hashtag,positive,False,True,True,0.6262975778546713,0,0
8,0,hashtag,random,True,False,False,0.9591587185130839,0,0
9,0,hashtag,positive,True,False,False,0.6556473829201102,0,0
10,0,hashtag,random,True,False,True,0.9526960784313725,0,0
11,0,hashtag,positive,True,False,True,0.6240740740740741,0,0
12,0,hashtag,random,True,True,False,0.9437898870888561,0,0
13,0,hashtag,positive,True,True,False,0.6014897579143389,0,0
14,0,hashtag,random,True,True,True,0.9449496190710248,0,0
15,0,hashtag,positive,True,True,True,0.6155285313376988,0,0
16,0,plain text,random,False,False,False,0,0,0
17,0,plain text,positive,False,False,False,0,0,0
18,0,plain text,random,False,False,True,0,0,0
19,0,plain text,positive,False,False,True,0,0,0
20,0,plain text,random,False,True,False,0,0,0
21,0,plain text,positive,False,True,False,0,0,0
22,0,plain text,random,False,True,True,0,0,0
23,0,plain text,positive,False,True,True,0,0,0
24,0,plain text,random,True,False,False,0,0,0
25,0,plain text,positive,True,False,False,0,0,0
26,0,plain text,random,True,False,True,0,0,0
27,0,plain text,positive,True,False,True,0,0,0
28,0,plain text,random,True,True,False,0,0,0
29,0,plain text,positive,True,True,False,0,0,0
30,0,plain text,random,True,True,True,0,0,0
31,0,plain text,positive,True,True,True,0,0,0
32,1,hashtag,random,False,False,False,0,0,0
33,1,hashtag,positive,False,False,False,0,0,0
34,1,hashtag,random,False,False,True,0,0,0
35,1,hashtag,positive,False,False,True,0,0,0
36,1,hashtag,random,False,True,False,0,0,0
37,1,hashtag,positive,False,True,False,0,0,0
38,1,hashtag,random,False,True,True,0,0,0
39,1,hashtag,positive,False,True,True,0,0,0
40,1,hashtag,random,True,False,False,0,0,0
41,1,hashtag,positive,True,False,False,0,0,0
42,1,hashtag,random,True,False,True,0,0,0
43,1,hashtag,positive,True,False,True,0,0,0
44,1,hashtag,random,True,True,False,0,0,0
45,1,hashtag,positive,True,True,False,0,0,0
46,1,hashtag,random,True,True,True,0,0,0
47,1,hashtag,positive,True,True,True,0,0,0
48,1,plain text,random,False,False,False,0,0,0
49,1,plain text,positive,False,False,False,0,0,0
50,1,plain text,random,False,False,True,0,0,0
51,1,plain text,positive,False,False,True,0,0,0
52,1,plain text,random,False,True,False,0,0,0
53,1,plain text,positive,False,True,False,0,0,0
54,1,plain text,random,False,True,True,0,0,0
55,1,plain text,positive,False,True,True,0,0,0
56,1,plain text,random,True,False,False,0,0,0
57,1,plain text,positive,True,False,False,0,0,0
58,1,plain text,random,True,False,True,0,0,0
59,1,plain text,positive,True,False,True,0,0,0
60,1,plain text,random,True,True,False,0,0,0
61,1,plain text,positive,True,True,False,0,0,0
62,1,plain text,random,True,True,True,0,0,0
63,1,plain text,positive,True,True,True,0,0,0
64,2,hashtag,random,False,False,False,0,0,0
65,2,hashtag,positive,False,False,False,0,0,0
66,2,hashtag,random,False,False,True,0,0,0
67,2,hashtag,positive,False,False,True,0,0,0
68,2,hashtag,random,False,True,False,0,0,0
69,2,hashtag,positive,False,True,False,0,0,0
70,2,hashtag,random,False,True,True,0,0,0
71,2,hashtag,positive,False,True,True,0,0,0
72,2,hashtag,random,True,False,False,0,0,0
73,2,hashtag,positive,True,False,False,0,0,0
74,2,hashtag,random,True,False,True,0,0,0
75,2,hashtag,positive,True,False,True,0,0,0
76,2,hashtag,random,True,True,False,0,0,0
77,2,hashtag,positive,True,True,False,0,0,0
78,2,hashtag,random,True,True,True,0,0,0
79,2,hashtag,positive,True,True,True,0,0,0
80,2,plain text,random,False,False,False,0,0,0
81,2,plain text,positive,False,False,False,0,0,0
82,2,plain text,random,False,False,True,0,0,0
83,2,plain text,positive,False,False,True,0,0,0
84,2,plain text,random,False,True,False,0,0,0
85,2,plain text,positive,False,True,False,0,0,0
86,2,plain text,random,False,True,True,0,0,0
87,2,plain text,positive,False,True,True,0,0,0
88,2,plain text,random,True,False,False,0,0,0
89,2,plain text,positive,True,False,False,0,0,0
90,2,plain text,random,True,False,True,0,0,0
91,2,plain text,positive,True,False,True,0,0,0
92,2,plain text,random,True,True,False,0,0,0
93,2,plain text,positive,True,True,False,0,0,0
94,2,plain text,random,True,True,True,0,0,0
95,2,plain text,positive,True,True,True,0,0,0

